# Data format string: '(6E12.4)'
# Data printout from CCMC-simulation: version 1.2
# Data type:  BATSRUS  magnetosphere
# Run name:   Yihua_Zheng_011116_1
# Missing data:          NaN
# Date, time:         2015           3          15  00:00:00
# Output data: field with 61x61=3721 elements
# x           y           z           N           V_x         B_x       
# R_E         R_E         R_E         cm^-3       km/s        nT        
 -5.3333E+01  0.0000E+00 -4.6400E+01  1.4811E+01 -2.8535E+02 -1.2395E+00
 -4.9067E+01  0.0000E+00 -4.6400E+01  1.7113E+01 -2.8281E+02 -1.4154E+00
 -4.4800E+01  0.0000E+00 -4.6400E+01  2.0663E+01 -2.7910E+02 -1.6850E+00
 -4.0533E+01  0.0000E+00 -4.6400E+01  2.5465E+01 -2.7510E+02 -2.0399E+00
 -3.6267E+01  0.0000E+00 -4.6400E+01  2.9109E+01 -2.7362E+02 -2.2668E+00
 -3.2000E+01  0.0000E+00 -4.6400E+01  2.9396E+01 -2.8011E+02 -2.0433E+00
 -2.7733E+01  0.0000E+00 -4.6400E+01  2.1827E+01 -2.9964E+02 -9.3369E-01
 -2.3467E+01  0.0000E+00 -4.6400E+01  1.4533E+01 -3.1406E+02 -1.3238E-01
 -1.9200E+01  0.0000E+00 -4.6400E+01  1.3054E+01 -3.1654E+02  7.9776E-03
 -1.4933E+01  0.0000E+00 -4.6400E+01  1.2987E+01 -3.1661E+02  1.0343E-02
 -1.0667E+01  0.0000E+00 -4.6400E+01  1.2987E+01 -3.1660E+02  9.1160E-03
 -6.4000E+00  0.0000E+00 -4.6400E+01  1.2987E+01 -3.1660E+02  7.9808E-03
 -2.1333E+00  0.0000E+00 -4.6400E+01  1.2987E+01 -3.1660E+02  6.5689E-03
  2.1333E+00  0.0000E+00 -4.6400E+01  1.2987E+01 -3.1660E+02  5.0039E-03
  6.4000E+00  0.0000E+00 -4.6400E+01  1.2988E+01 -3.1660E+02  3.4905E-03
  1.0667E+01  0.0000E+00 -4.6400E+01  1.2988E+01 -3.1660E+02  2.2105E-03
  1.4933E+01  0.0000E+00 -4.6400E+01  1.2988E+01 -3.1660E+02  1.3524E-03
  1.9200E+01  0.0000E+00 -4.6400E+01  1.2988E+01 -3.1660E+02  1.2933E-03
  2.3467E+01  0.0000E+00 -4.6400E+01  1.2988E+01 -3.1660E+02  7.9191E-04
  2.7733E+01  0.0000E+00 -4.6400E+01  1.2988E+01 -3.1660E+02 -2.6767E-04
  3.2000E+01  0.0000E+00 -4.6400E+01  1.2988E+01 -3.1660E+02  4.0182E-05
 -2.2400E+02  0.0000E+00 -4.4800E+01  2.6126E+00 -3.0701E+02 -1.5674E+00
 -2.1973E+02  0.0000E+00 -4.4800E+01  2.6183E+00 -3.0681E+02 -1.5161E+00
 -2.1547E+02  0.0000E+00 -4.4800E+01  2.7091E+00 -3.0561E+02 -1.5825E+00
 -2.1120E+02  0.0000E+00 -4.4800E+01  2.7939E+00 -3.0450E+02 -1.6447E+00
 -2.0693E+02  0.0000E+00 -4.4800E+01  2.8522E+00 -3.0377E+02 -1.6887E+00
 -2.0267E+02  0.0000E+00 -4.4800E+01  2.9152E+00 -3.0302E+02 -1.7304E+00
 -1.9840E+02  0.0000E+00 -4.4800E+01  2.9881E+00 -3.0223E+02 -1.7674E+00
 -1.9413E+02  0.0000E+00 -4.4800E+01  3.0634E+00 -3.0147E+02 -1.8027E+00
 -1.8987E+02  0.0000E+00 -4.4800E+01  3.1416E+00 -3.0073E+02 -1.8359E+00
 -1.8560E+02  0.0000E+00 -4.4800E+01  3.2252E+00 -3.0002E+02 -1.8657E+00
 -1.8133E+02  0.0000E+00 -4.4800E+01  3.3130E+00 -2.9931E+02 -1.8927E+00
 -1.7707E+02  0.0000E+00 -4.4800E+01  3.4071E+00 -2.9863E+02 -1.9157E+00
 -1.7280E+02  0.0000E+00 -4.4800E+01  3.5042E+00 -2.9796E+02 -1.9369E+00
 -1.6853E+02  0.0000E+00 -4.4800E+01  3.6103E+00 -2.9736E+02 -1.9511E+00
 -1.6427E+02  0.0000E+00 -4.4800E+01  3.7184E+00 -2.9678E+02 -1.9637E+00
 -1.6000E+02  0.0000E+00 -4.4800E+01  3.8379E+00 -2.9633E+02 -1.9644E+00
 -1.5573E+02  0.0000E+00 -4.4800E+01  3.9588E+00 -2.9590E+02 -1.9630E+00
 -1.5147E+02  0.0000E+00 -4.4800E+01  4.0894E+00 -2.9566E+02 -1.9427E+00
 -1.4720E+02  0.0000E+00 -4.4800E+01  4.2218E+00 -2.9547E+02 -1.9150E+00
 -1.4293E+02  0.0000E+00 -4.4800E+01  4.3614E+00 -2.9550E+02 -1.8555E+00
 -1.3867E+02  0.0000E+00 -4.4800E+01  4.5034E+00 -2.9565E+02 -1.7887E+00
 -1.3440E+02  0.0000E+00 -4.4800E+01  4.6506E+00 -2.9607E+02 -1.7061E+00
 -1.3013E+02  0.0000E+00 -4.4800E+01  4.8021E+00 -2.9657E+02 -1.6132E+00
 -1.2587E+02  0.0000E+00 -4.4800E+01  4.9592E+00 -2.9717E+02 -1.5071E+00
 -1.2160E+02  0.0000E+00 -4.4800E+01  5.1283E+00 -2.9770E+02 -1.3948E+00
 -1.1733E+02  0.0000E+00 -4.4800E+01  5.3068E+00 -2.9816E+02 -1.2777E+00
 -1.1307E+02  0.0000E+00 -4.4800E+01  5.5091E+00 -2.9847E+02 -1.1645E+00
 -1.0880E+02  0.0000E+00 -4.4800E+01  5.7222E+00 -2.9872E+02 -1.0530E+00
 -1.0453E+02  0.0000E+00 -4.4800E+01  5.9679E+00 -2.9875E+02 -9.5588E-01
 -1.0027E+02  0.0000E+00 -4.4800E+01  6.2213E+00 -2.9873E+02 -8.6202E-01
 -9.6000E+01  0.0000E+00 -4.4800E+01  6.4352E+00 -2.9887E+02 -7.6202E-01
 -9.1733E+01  0.0000E+00 -4.4800E+01  6.7067E+00 -2.9869E+02 -6.7040E-01
 -8.7467E+01  0.0000E+00 -4.4800E+01  7.0584E+00 -2.9788E+02 -6.7462E-01
 -8.3200E+01  0.0000E+00 -4.4800E+01  7.4504E+00 -2.9699E+02 -6.9169E-01
 -7.8933E+01  0.0000E+00 -4.4800E+01  7.9099E+00 -2.9593E+02 -7.1681E-01
 -7.4667E+01  0.0000E+00 -4.4800E+01  8.4488E+00 -2.9470E+02 -7.5168E-01
 -7.0400E+01  0.0000E+00 -4.4800E+01  9.0803E+00 -2.9330E+02 -7.9891E-01
 -6.6133E+01  0.0000E+00 -4.4800E+01  9.8126E+00 -2.9170E+02 -8.5922E-01
 -6.1867E+01  0.0000E+00 -4.4800E+01  1.0573E+01 -2.8997E+02 -9.0932E-01
 -5.7600E+01  0.0000E+00 -4.4800E+01  1.1776E+01 -2.8784E+02 -1.0218E+00
 -5.3333E+01  0.0000E+00 -4.4800E+01  1.3198E+01 -2.8560E+02 -1.1495E+00
 -4.9067E+01  0.0000E+00 -4.4800E+01  1.5008E+01 -2.8321E+02 -1.2975E+00
 -4.4800E+01  0.0000E+00 -4.4800E+01  1.7544E+01 -2.8024E+02 -1.4894E+00
 -4.0533E+01  0.0000E+00 -4.4800E+01  2.1545E+01 -2.7580E+02 -1.7908E+00
 -3.6267E+01  0.0000E+00 -4.4800E+01  2.6655E+01 -2.7160E+02 -2.1646E+00
 -3.2000E+01  0.0000E+00 -4.4800E+01  2.9750E+01 -2.7127E+02 -2.3405E+00
 -2.7733E+01  0.0000E+00 -4.4800E+01  2.8271E+01 -2.8275E+02 -1.8507E+00
 -2.3467E+01  0.0000E+00 -4.4800E+01  1.7976E+01 -3.0720E+02 -4.9130E-01
 -1.9200E+01  0.0000E+00 -4.4800E+01  1.3362E+01 -3.1607E+02 -2.1020E-02
 -1.4933E+01  0.0000E+00 -4.4800E+01  1.2994E+01 -3.1661E+02  1.3414E-02
 -1.0667E+01  0.0000E+00 -4.4800E+01  1.2987E+01 -3.1660E+02  1.0873E-02
 -6.4000E+00  0.0000E+00 -4.4800E+01  1.2987E+01 -3.1660E+02  9.5513E-03
 -2.1333E+00  0.0000E+00 -4.4800E+01  1.2987E+01 -3.1660E+02  7.8229E-03
  2.1333E+00  0.0000E+00 -4.4800E+01  1.2987E+01 -3.1660E+02  5.9024E-03
  6.4000E+00  0.0000E+00 -4.4800E+01  1.2988E+01 -3.1660E+02  4.0533E-03
  1.0667E+01  0.0000E+00 -4.4800E+01  1.2988E+01 -3.1660E+02  2.5122E-03
  1.4933E+01  0.0000E+00 -4.4800E+01  1.2988E+01 -3.1660E+02  1.6061E-03
  1.9200E+01  0.0000E+00 -4.4800E+01  1.2988E+01 -3.1660E+02  1.5255E-03
  2.3467E+01  0.0000E+00 -4.4800E+01  1.2988E+01 -3.1660E+02  5.4885E-04
  2.7733E+01  0.0000E+00 -4.4800E+01  1.2988E+01 -3.1660E+02  1.7287E-04
  3.2000E+01  0.0000E+00 -4.4800E+01  1.2988E+01 -3.1660E+02  8.4785E-05
 -2.2400E+02  0.0000E+00 -4.3200E+01  2.3952E+00 -3.1586E+02 -1.7309E+00
 -2.1973E+02  0.0000E+00 -4.3200E+01  2.4004E+00 -3.0781E+02 -1.5886E+00
 -2.1547E+02  0.0000E+00 -4.3200E+01  2.4837E+00 -3.0647E+02 -1.6663E+00
 -2.1120E+02  0.0000E+00 -4.3200E+01  2.5613E+00 -3.0522E+02 -1.7393E+00
 -2.0693E+02  0.0000E+00 -4.3200E+01  2.6148E+00 -3.0439E+02 -1.7922E+00
 -2.0267E+02  0.0000E+00 -4.3200E+01  2.6724E+00 -3.0354E+02 -1.8431E+00
 -1.9840E+02  0.0000E+00 -4.3200E+01  2.7394E+00 -3.0263E+02 -1.8894E+00
 -1.9413E+02  0.0000E+00 -4.3200E+01  2.8085E+00 -3.0175E+02 -1.9346E+00
 -1.8987E+02  0.0000E+00 -4.3200E+01  2.8805E+00 -3.0089E+02 -1.9784E+00
 -1.8560E+02  0.0000E+00 -4.3200E+01  2.9576E+00 -3.0004E+02 -2.0194E+00
 -1.8133E+02  0.0000E+00 -4.3200E+01  3.0388E+00 -2.9919E+02 -2.0583E+00
 -1.7707E+02  0.0000E+00 -4.3200E+01  3.1262E+00 -2.9836E+02 -2.0940E+00
 -1.7280E+02  0.0000E+00 -4.3200E+01  3.2165E+00 -2.9753E+02 -2.1283E+00
 -1.6853E+02  0.0000E+00 -4.3200E+01  3.3157E+00 -2.9676E+02 -2.1566E+00
