ra,dec,st_dist
61.657782,-25.34971,694
312.449305,-24.303471,516.8
67.418554,-28.197287,634.8
144.287625,-29.800437,1083
292.939799,-26.740201,495
101.394823,-33.881703,1538
180.208826,-46.136424,982
15.005889,-58.904757,618.2
289.29735,-60.891683,420.3
208.856995,-21.207695,257
109.1045,-31.244406,1307
294.941746,-25.748318,829
290.810104,-20.166317,654.36
173.356003,-70.194786,110.02
173.76564,20.441545,137.72
173.964676,-4.755697,49.6
24.473234,-60.511528,39
24.473234,-60.511528,39
24.473234,-60.511528,39
24.473234,-60.511528,39
24.473234,-60.511528,39
24.473234,-60.511528,39
175.875458,-58.006886,30.05
176.210251,-58.703709,39.62
176.426224,2.821483,29.36
176.598068,14.123986,350.01
176.694351,3.474293,218.42
176.694351,3.474293,218.42
176.629471,-40.500355,9.29
177.587204,-1.252453,62.87
177.843796,57.640736,122.32
178.220749,-50.292824,57.24
179.1716,-2.778953,41.6
179.231628,-12.107909,56.5
179.548767,-23.923887,26.52
179.791702,-20.353781,20.38
25.471457,2.704376,135.89
181.312988,76.905731,100.86
183.372955,10.041638,38.23
183.40535,-9.513381,94.06
183.472473,-0.393484,109
183.472473,-0.393484,109
25.622149,-53.740833,17.34
183.777359,-7.257327,34.12
184.471634,-55.975525,103.33
26.232603,20.083149,33.15
184.806213,-3.319789,49.49
186.44278,-64.022087,38.96
186.880798,-71.422974,49.4
187.582962,21.948244,165.52
187.612015,22.879829,59.62
187.612015,22.879829,59.62
188.029953,74.489548,67.97
188.398148,-11.621868,55.96
188.398148,-11.621868,55.96
189.318237,-40.812115,63.2
189.811523,-7.995564,100.98
192.215637,-68.425148,28.98
192.572067,22.863407,114.54
193.296494,-3.553098,33.26
195.445526,63.610226,36.22
196.239487,-52.442924,15.9
196.239487,-52.442924,15.9
196.794708,27.624741,116.34
197.665924,-35.054783,27.95
198.013275,-37.80302,20.29
198.184402,-31.873348,37.85
198.08226,17.517122,40.23
198.182434,-2.26504,20.4
198.182434,-2.26504,20.4
28.210558,-19.506975,51.34
28.210558,-19.506975,51.34
200.164764,24.648699,123.68
200.164764,24.648699,123.68
202.337967,-35.570995,32.38
29.708696,73.152382,236.64
203.106476,-47.271362,37.82
203.510574,53.728531,92.51
205.376266,-9.946078,114.29
29.290026,-10.242428,33.57
29.290026,-10.242428,33.57
28.733881,-67.647301,68.05
205.663345,78.064438,103.35
209.321823,-56.040043,41.71
30.611374,2.815859,51.1
214.538834,38.966976,154.33
215.346603,-40.393948,28.22
215.222977,-17.481522,57.72
215.222977,-17.481522,57.72
215.222977,-17.481522,57.72
34.748653,85.736153,183.15
216.887375,-51.933086,37.69
31.142866,25.414305,37.89
31.142866,25.414305,37.89
216.701172,-5.17778,73.25
219.002335,9.746518,16.52
219.002335,9.746518,16.52
219.270355,-25.802563,26.03
221.512772,-68.762749,67.57
221.886368,-0.281476,31.91
223.345947,18.235401,132.34
225.025314,-73.535339,52.89
32.057426,-24.69541,149.57
32.417381,32.316437,504.71
224.227707,53.382168,70.93
224.589661,44.043148,105.47
225.897705,-27.842573,47
225.897705,-27.842573,47
225.8992,-27.840994,47
227.686432,-61.422321,24.2
227.686432,-61.422321,24.2
228.369446,-25.309347,26.2
228.369446,-25.309347,26.2
230.450623,-48.317627,14.81
230.450623,-48.317627,14.81
230.450623,-48.317627,14.81
229.775757,41.733208,105.49
33.086163,-46.816387,43.52
233.916367,-80.20459,40.53
34.560665,65.59436,79.73
34.560665,65.59436,79.73
34.197414,43.772995,47.46
233.81749,53.922142,112.45
4.446472,-66.35891,79.75
34.293499,23.767832,142.6
236.724228,46.986263,36.2
236.724228,46.986263,36.2
236.724228,46.986263,36.2
236.724228,46.986263,36.2
238.07312,-18.436066,33.39
1.579898,-49.075191,26.21
1.579898,-49.075191,26.21
242.562592,-84.231613,34.31
238.234497,15.430708,97.5
239.419968,-60.200256,35.57
238.402328,68.720116,48.7
240.459778,-44.434536,68.65
242.901855,-27.078173,53.57
242.516312,26.74275,135.82
243.29114,13.239476,229.35
4.674448,-8.053001,23.47
4.674448,-8.053001,23.47
245.75061,-61.688763,42.96
245.75061,-61.688763,42.96
244.178116,67.238846,10.77
246.005371,-39.192982,12.91
35.808552,10.836746,119.54
246.438141,-33.56712,109.38
246.438141,-33.56712,109.38
247.072006,-46.317623,57.22
246.435547,11.919066,77.37
246.435547,11.919066,77.37
246.451721,30.265127,121.61
247.117294,-13.39964,71.5
247.623413,38.347309,76.03
248.212708,2.084832,73.43
4.82111,14.054755,191.96
247.823273,79.789772,28.29
253.373901,-46.332958,88.11
253.431595,11.973746,166.54
36.86824,-27.635206,44.87
36.86824,-27.635206,44.87
256.128632,-43.309769,48.52
255.651688,47.081882,18.29
257.520477,-56.449268,63.16
257.815521,-56.680798,63.56
257.815521,-56.680798,63.56
257.768188,-20.65457,75.13
257.394226,33.355854,43.67
257.394226,33.355854,43.67
258.09668,63.352093,36.23
258.09668,63.352093,36.23
259.964172,-48.54932,56.96
259.418701,29.227226,24.35
260.142944,-19.333746,47.8
261.439301,27.303341,95.12
259.904633,80.136398,285.91
263.339783,5.700733,73.46
263.339783,5.700733,73.46
264.748016,-43.145515,55.94
264.748016,-43.145515,55.94
5.13133,30.974804,89.03
5.13133,30.974804,89.03
266.036255,-51.834053,15.61
266.036255,-51.834053,15.61
266.036255,-51.834053,15.61
266.036255,-51.834053,15.61
38.833035,-3.560602,37.83
39.257961,42.062634,59.96
267.659821,-40.318348,30.85
268.418732,56.391956,67.92
268.418732,56.391956,67.92
39.244198,-34.577976,25.41
270.380127,0.104556,53.19
270.162048,29.571922,28.28
270.7789,-28.560644,39.41
270.628601,26.313002,22.02
270.628601,26.313002,22.02
271.488953,-29.917253,63.47
5.218085,-19.931225,118.31
273.498657,-42.575375,45.19
272.631836,54.286552,49.73
275.016388,-9.595722,39.67
275.016388,-9.595722,39.67
275.457428,-11.922684,41.62
5.305497,-8.281169,769.37
276.956177,-29.816866,37.64
276.956177,-29.816866,37.64
277.295746,11.695502,60.28
41.592117,49.653076,229.89
278.064527,6.945743,112.01
278.681976,-28.072313,44.87
42.435364,71.753235,78.26
280.900452,36.556606,132.68
285.003479,-69.944244,71.23
283.920349,4.265325,130.08
285.272858,-66.19268,40.38
42.767853,30.286739,44.48
285.774475,-11.043926,27.81
285.774475,-11.043926,27.81
286.718597,-37.810658,16.93
286.336548,25.92066,62.88
286.336548,25.92066,62.88
287.262939,34.59985,41.02
287.790955,-2.638385,69.85
288.888458,-24.179352,27.48
288.400879,34.914543,137.59
43.363365,-8.84802,124.24
288.709198,31.86035,122.79
289.230225,5.168904,5.91
289.823792,-23.558155,104.89
290.000397,-9.323601,47.81
290.267639,-23.619572,120.81
291.289856,-66.468796,26.9
291.289856,-66.468796,26.9
291.289856,-66.468796,26.9
290.720764,-32.919056,60.31
292.102386,8.358054,54.28
292.102386,8.358054,54.28
294.29892,28.499865,52.07
297.391541,-37.780552,45.96
296.742126,34.419525,46.02
296.742126,34.419525,46.02
45.044407,-20.802603,163.37
298.018921,28.100376,50.74
300.182129,22.710854,19.78
300.905853,29.896805,16.01
300.905853,29.896805,16.01
301.83197,-35.538631,54.56
302.877991,-64.620468,148.81
302.36795,52.276329,65.79
303.499359,-0.866877,19.65
303.822449,-27.032976,8.8
303.822449,-27.032976,8.8
304.025024,4.580795,72.01
307.077637,18.769497,37.71
309.465454,-60.634483,50.75
310.433716,-75.3508,39.98
309.966156,11.249649,34.2
309.887329,42.24855,33
48.193485,-1.196101,22.54
46.907997,-72.321892,43.8
46.907997,-72.321892,43.8
316.666016,3.803119,72.74
316.666016,3.803119,72.74
318.740692,-20.789209,46.03
319.224792,27.258121,189.56
319.224792,27.258121,189.56
319.699588,-26.616375,147.2
319.742584,26.230545,39.29
320.578644,5.023597,72.79
6.084491,-56.650047,85.9
322.050873,-21.726255,47.86
322.050873,-21.726255,47.86
323.097961,-20.957422,28.74
324.535034,-31.737484,92.74
325.591217,-50.093609,75.4
325.85376,-7.408253,147.78
50.01226,-28.783834,35.37
50.01226,-28.783834,35.37
50.01226,-28.783834,35.37
50.01226,-28.783834,35.37
50.014908,-28.854071,36.02
328.151184,-26.02656,59.03
328.151184,-26.02656,59.03
49.981876,-43.069782,6
49.981876,-43.069782,6
49.981876,-43.069782,6
49.981876,-43.069782,6
329.332703,-37.763622,44
329.099945,21.239859,314.48
50.177895,-33.730103,47.79
329.748718,19.020302,64.68
330.794891,18.884319,48.37
332.394226,-41.224892,42.25
332.374451,-7.548654,21.31
332.963867,16.04055,54.28
334.527252,61.134438,64.76
335.567535,-54.560619,13
336.878845,-77.717926,54.32
336.762787,-17.263659,111.51
337.751526,-49.43327,40.92
338.98465,-59.864468,47.97
338.98465,-59.864468,47.97
51.546322,-30.617809,29.16
340.082794,31.787594,101.66
340.838745,-6.400821,21.61
340.838745,-6.400821,21.61
340.838745,-6.400821,21.61
340.838745,-6.400821,21.61
341.653137,-56.599533,40.59
341.653137,-56.599533,40.59
343.408051,-48.598286,33.01
343.66452,-70.073708,26.71
343.266598,44.477753,380.33
343.973785,-26.658764,36.7
51.80201,-58.323681,32.38
51.80201,-58.323681,32.38
344.564758,-2.395385,20.07
344.564758,-2.395385,20.07
51.746769,-63.4991,16.33
345.78418,-0.429622,54.8
345.652771,58.875927,65.9
347.294708,-2.260742,28.85
348.527435,-62.700005,29.21
348.32074,57.168354,6.53
348.32074,57.168354,6.53
348.32074,57.168354,6.53
348.32074,57.168354,6.53
348.32074,57.168354,6.53
348.32074,57.168354,6.53
348.724278,56.730328,165.97
349.556792,-56.903786,94.43
349.694733,18.64572,73.27
349.694733,18.64572,73.27
350.059906,61.970127,327.41
350.492859,16.632538,64.53
351.470795,-20.61603,46.94
351.614349,8.643845,49
351.654114,56.886528,62.5
352.834747,-58.209732,56.01
353.03363,-21.801424,95.08
353.331604,-77.38533,31.17
353.225189,63.155483,55.94
354.533112,-70.903358,91.39
354.501282,48.996521,50.68
355.464722,-5.985757,42.21
359.715668,-61.586773,79.24
359.974304,-22.428114,93.75
55.206356,31.82629,32.63
54.929562,-52.915836,33.49
54.848495,-60.077843,94.11
293.017334,16.474291,109.22
137.45338,53.56823,868.63
171.522858,50.375778,58.84
55.459988,-62.767075,39.08
55.459988,-62.767075,39.08
57.001556,40.530636,52.08
279.584229,59.253857,527.24
347.621792,57.029456,142.86
348.925934,58.04324,958.16
57.595699,17.476366,46.68
59.151241,74.080032,302.86
56.256458,-70.024101,54.99
59.432999,-20.267792,37.47
58.956001,-65.186676,55.7
7.499466,-5.764002,55.05
7.328958,-76.304061,197.98
63.818001,-7.652871,5.04
64.120956,-59.302155,18.28
64.939461,-41.960266,50.36
65.19603,-59.410835,43.88
65.19603,-59.410835,43.88
65.19603,-59.410835,43.88
66.609673,-10.550821,39.43
66.211273,-50.622192,54.7
61.755104,15.335032,45.09
70.732407,18.958172,9.47
67.856056,4.575287,190.92
69.46759,60.676197,31.02
80.839851,-2.277619,56.52
8.293311,54.894985,110.45
70.476555,-58.020756,55.68
70.476555,-58.020756,55.68
72.151604,-5.674045,26.18
72.11869,-28.419298,57.1
72.574425,-24.368839,131.7
73.681892,12.352201,58.24
73.909927,-23.24188,38.57
73.909927,-23.24188,38.57
73.909927,-23.24188,38.57
8.739684,4.381469,47.36
8.739684,4.381469,47.36
8.739684,4.381469,47.36
77.403,69.639404,122.55
76.982353,26.327963,38.12
237.407043,-49.963524,45.36
76.898087,-13.98648,121.8
76.898087,-13.98648,121.8
77.004219,-26.797472,90.1
80.639717,79.231148,20.97
78.150421,-14.951111,106.1
78.150421,-14.951111,106.1
79.420746,7.353343,46.15
79.420746,7.353343,46.15
79.420746,7.353343,46.15
79.420746,7.353343,46.15
79.420746,7.353343,46.15
79.420746,7.353343,46.15
82.888962,64.318779,72.5
9.840858,21.250473,11.14
84.260361,20.730787,31.69
84.260361,20.730787,31.69
84.260361,20.730787,31.69
85.00721,6.060579,46.85
85.00721,6.060579,46.85
84.258408,-73.699341,38.1
86.64547,1.168193,42.41
86.64547,1.168193,42.41
86.996567,-8.3277,91.68
84.291214,-80.469124,18.28
88.625648,-19.704346,23.28
88.51767,-60.023472,12.94
88.51767,-60.023472,12.94
88.51767,-60.023472,12.94
88.51767,-60.023472,12.94
88.51767,-60.023472,12.94
91.663147,63.453838,116.99
91.124763,44.260445,34.12
89.956871,-48.239693,43.03
89.956886,-48.239841,43.03
10.802486,-37.982632,41.92
92.485275,34.1353,36.84
11.171676,20.448927,81.57
11.171676,20.448927,81.57
11.111043,-26.51568,34.23
93.002357,6.783074,24.35
11.163615,-65.649521,22.03
11.41816,7.845021,136.82
93.39859,-29.89727,56.3
94.894485,41.092304,85.81
95.059677,-10.725009,50.4
96.182831,-28.780113,21.88
96.182831,-28.780113,21.88
97.19046,38.962963,46.94
96.410316,-31.480953,34.39
96.410316,-31.480953,34.39
97.304962,10.933891,34.89
98.302597,5.462925,29.58
99.036613,-27.622297,37.5
99.036613,-27.622297,37.5
12.308117,-24.136671,54.87
